date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:07	116/116	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Mar%202024%2018:37:58%20GMT	https://growhub.themepul.com/robots.txt		(from )
23:38:10	181970/181970	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2018:38:00%20GMT	https://growhub.themepul.com/	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/index.html	(from )
23:38:11	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-65f03248-e488e1453901e71e;gz%22	https://growhub.themepul.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.2	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/contact-form-7/includes/css/styles6dcf.css	(from https://growhub.themepul.com/)
23:38:13	7864/7864	---M-Z	200	added ('OK')	application/rss+xml	etag:%2279119fe8d9bbc03de9730d7039faba61%22	https://growhub.themepul.com/comments/feed/	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/comments/feed/index.html	(from https://growhub.themepul.com/)
23:38:13	49248/49248	---MCZ	200	added ('OK')	application/rss+xml	etag:%2279119fe8d9bbc03de9730d7039faba61%22	https://growhub.themepul.com/feed/	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/feed/index.html	(from https://growhub.themepul.com/)
23:38:15	58578/58578	---MCZ	200	added ('OK')	text/css	etag:W/%2276cb46c10b6c0293433b371bae2414b2%22	https://use.fontawesome.com/releases/v5.13.0/css/all.css?ver=5.13.0	C:/My%20Web%20Sites/newest%20green/use.fontawesome.com/releases/v5.13.0/css/all05c8.css	(from https://growhub.themepul.com/)
23:38:22	13329/13329	---M-Z	200	added ('OK')	text/css	etag:%223411-659d0c8d-6e005a71d47feb23;gz%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/flaticon.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/flaticonf269.css	(from https://growhub.themepul.com/)
23:38:23	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22fb073a92592d70e5aa6e3cce1cf93a11%22	https://use.fontawesome.com/releases/v5.13.0/css/v4-shims.css?ver=5.13.0	C:/My%20Web%20Sites/newest%20green/use.fontawesome.com/releases/v5.13.0/css/v4-shims05c8.css	(from https://growhub.themepul.com/)
23:38:23	27988/27988	---M-Z	200	added ('OK')	text/css	etag:%226d54-659d0c8d-913b3e9ac98a633f;gz%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/owl.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/owlf269.css	(from https://growhub.themepul.com/)
23:38:23	0/0	---M--	200	added ('OK')	text/css	etag:%220-659d0c8d-8365e4a2bfd9732c;;;%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/backend.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/backendf269.css	(from https://growhub.themepul.com/)
23:38:25	389/389	---M-Z	200	added ('OK')	text/css	etag:%22185-65853e07-c7acfdab50e403a4;gz%22	https://growhub.themepul.com/wp-content/plugins/purchase-button//assets/css/purchase-button.css?ver=6.4.3	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/purchase-button/assets/css/purchase-button84fc.css	(from https://growhub.themepul.com/)
23:38:25	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%2211846-659d0c8d-7301de69bff9ebcd;gz%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/animate-min.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/animate-minf269.css	(from https://growhub.themepul.com/)
23:38:25	81508/81508	---M-Z	200	added ('OK')	text/css	etag:%2213e64-659d0c8d-51c9f3f66bca079e;gz%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/custom-widgets.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/assets/css/custom-widgetsf269.css	(from https://growhub.themepul.com/)
23:38:26	0/0	---M--	200	added ('OK')	text/css	etag:%220-65853e07-b26c75d3c922d530;;;%22	https://growhub.themepul.com/wp-content/plugins/purchase-button/assets/css/purchase-inline.css?ver=6.4.3	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/purchase-button/assets/css/purchase-inline84fc.css	(from https://growhub.themepul.com/)
23:38:27	17688/17688	---M-Z	200	added ('OK')	text/css	etag:%224518-65d53793-c83cac449f557d6;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9b80.css	(from https://growhub.themepul.com/)
23:38:28	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221b83-65d53793-797ccc16b6cd99ed;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9b80.css	(from https://growhub.themepul.com/)
23:38:29	75125/75125	---M-Z	200	added ('OK')	text/css	etag:%2212575-65d53793-dd77c9a55ba5b3d6;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/css/woocommerce9b80.css	(from https://growhub.themepul.com/)
23:38:32	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-659d0c81-a991c31aabbea06d;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/popup/magnific-popup.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/popup/magnific-popupf269.css	(from https://growhub.themepul.com/)
23:38:32	88525/88525	---M-Z	200	added ('OK')	text/css	etag:%22159cd-659d0c81-9cd2fdab74738c0d;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/bootstrap/bootstrap-icons.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/bootstrap/bootstrap-iconsf269.css	(from https://growhub.themepul.com/)
23:38:33	153402/153402	---M-Z	200	added ('OK')	text/css	etag:%222573a-659d0c81-94bd905f54d026a8;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/bootstrap/bootstrap-min.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/bootstrap/bootstrap-minf269.css	(from https://growhub.themepul.com/)
23:38:33	1895/1895	---M-Z	200	added ('OK')	text/css	etag:%22767-659d0c81-174d2a46972e02b7;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/slick/slick.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/slick/slickf269.css	(from https://growhub.themepul.com/)
23:38:35	224872/224872	---M-Z	200	added ('OK')	text/css	etag:%2236e68-659d0c81-4394a783260c57c8;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/css/fontawesome-all.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/css/fontawesome-allf269.css	(from https://growhub.themepul.com/)
23:38:35	52799/52799	---M-Z	200	added ('OK')	text/css	etag:%22ce3f-659d0c81-7e84b1c2e2601f4d;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/css/animation.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/css/animationf269.css	(from https://growhub.themepul.com/)
23:38:37	17570/17570	---M-Z	200	added ('OK')	text/css	etag:%2244a2-659d0c81-d10774c08f4714bb;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/css/theme.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/css/themef269.css	(from https://growhub.themepul.com/)
23:38:37	918/918	---M-Z	200	added ('OK')	text/css	etag:%22396-659d0c81-9e9fc3bcb0cf93ea;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/style.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/stylef269.css	(from https://growhub.themepul.com/)
23:38:37	60579/60579	---M-Z	200	added ('OK')	text/css	etag:%22eca3-659d0c81-cf6d41301c51def8;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/css/typography.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/css/typographyf269.css	(from https://growhub.themepul.com/)
23:38:38	0/0	---M--	200	added ('OK')	text/css	etag:%220-659d0c81-ff9331576bb5e23d;;;%22	https://growhub.themepul.com/wp-content/themes/growhub/assets/css/inline-style.css?ver=1.0.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/assets/css/inline-stylef269.css	(from https://growhub.themepul.com/)
23:38:38	1676/1676	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-65d53793-19273dc8bd58327a;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.eot	(from https://growhub.themepul.com/)
23:38:39	37009/37009	---M-Z	200	added ('OK')	text/css	etag:%229091-659d2100-d828191d53d16a73;gz%22	https://growhub.themepul.com/wp-content/themes/growhub/woocommerce.css?ver=6.4.3	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/themes/growhub/woocommerce84fc.css	(from https://growhub.themepul.com/)
23:38:40	1676/1676	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-65d53793-19273dc8bd58327a;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.eot?	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/stard41d.eot	(from https://growhub.themepul.com/)
23:38:40	1304/1304	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22518-65d53793-ac099bb658a01fa;;;%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.woff	(from https://growhub.themepul.com/)
23:38:40	1512/1512	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%225e8-65d53793-ba44652cc78ab64a;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.ttf	(from https://growhub.themepul.com/)
23:38:41	929/929	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a1-65d53793-c99ce8beaf0a8367;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/fonts/star.svg	(from https://growhub.themepul.com/)
23:38:41	413/413	---M-Z	200	added ('OK')	text/css	etag:%2219d-65f22b8f-10f366c095862ff2;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.20.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min78fb.css	(from https://growhub.themepul.com/)
23:38:42	32/32	---M--	200	added ('OK')	text/css	etag:%2220-659d0c8d-9c94d71eab4fbebd;;;%22	https://growhub.themepul.com/wp-content/plugins/growhub-core/inc/growhub-template-library/templates/assets/css/template-frontend.min.css?ver=1.0.0	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/growhub-core/inc/growhub-template-library/templates/assets/css/template-frontend.min8a54.css	(from https://growhub.themepul.com/)
23:38:43	19778/19778	---M-Z	200	added ('OK')	text/css	etag:%224d42-65f22b8f-4e791806d7cefa9f;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://growhub.themepul.com/)
23:38:43	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-65f22b8f-35c0dbddec081d9a;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://growhub.themepul.com/)
23:38:43	117506/117506	---M-Z	200	added ('OK')	text/css	etag:%221cb02-659d1303-330b64f73899d185;gz%22	https://growhub.themepul.com/wp-content/uploads/elementor/css/custom-frontend-lite.min.css?ver=1704792835	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/uploads/elementor/css/custom-frontend-lite.min45b7.css	(from https://growhub.themepul.com/)
23:38:43	1107/1107	---M-Z	200	added ('OK')	text/css	etag:%22453-659d1303-e86bd3d9d23d5ab4;gz%22	https://growhub.themepul.com/wp-content/uploads/elementor/css/post-6.css?ver=1704792835	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/uploads/elementor/css/post-645b7.css	(from https://growhub.themepul.com/)
23:38:45	26702/26702	---M-Z	200	added ('OK')	text/css	etag:%22684e-65f22b8f-15e019b76a15fdca;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.20.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min78fb.css	(from https://growhub.themepul.com/)
23:38:46	42976/42976	---M-Z	200	added ('OK')	text/css	etag:%22a7e0-659d1348-f67e68521ee69c65;gz%22	https://growhub.themepul.com/wp-content/uploads/elementor/css/post-9.css?ver=1704792904	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/uploads/elementor/css/post-9ac17.css	(from https://growhub.themepul.com/)
23:38:46	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%22e7d0-65f22b8f-dc1d4692663769bc;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.20.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min78fb.css	(from https://growhub.themepul.com/)
23:38:47	669/669	---M-Z	200	added ('OK')	text/css	etag:%2229d-65f22b8f-40e84a051ba8daae;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://growhub.themepul.com/)
23:38:49	58071/58071	---M-Z	200	added ('OK')	text/css	etag:%22e2d7-65f22b8f-90c85d3138670f4e;gz%22	https://growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://growhub.themepul.com/)
23:38:50	9636/9636	---M-Z	200	added ('OK')	application/x-javascript	etag:%2225a4-65d53793-2df4ad40190a631f;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minac72.js	(from https://growhub.themepul.com/)
23:38:50	3058/3058	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bf2-65d53793-a0f393f35a6343e3;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min9b80.js	(from https://growhub.themepul.com/)
23:38:50	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-657543eb-94ebf5e985d89726;gz%22	https://growhub.themepul.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://growhub.themepul.com/)
23:38:50	1845/1845	---M-Z	200	added ('OK')	application/x-javascript	etag:%22735-65d53793-2c7228bba0a87e40;gz%22	https://growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.8.6.1	C:/My%20Web%20Sites/newest%20green/growhub.themepul.com/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.minde0b.js	(from https://growhub.themepul.com/)
